date,seafood,temp,windspeed,rain,snow
2:00 PM April 13 2015,0,14.4,27.8,0,0
2:15 PM April 13 2015,0,14.4,27.8,0,0
2:30 PM April 13 2015,0,18.9,29.6,0,0
2:45 PM April 13 2015,0,18.9,29.6,0,0
3:00 PM April 13 2015,0,18.9,29.6,0,0
3:15 PM April 13 2015,0,18.9,29.6,0,0
3:30 PM April 13 2015,0,18.3,24.1,0,0
3:45 PM April 13 2015,0,18.3,24.1,0,0
4:00 PM April 13 2015,0,18.3,24.1,0,0
4:15 PM April 13 2015,0,18.3,24.1,0,0
4:30 PM April 13 2015,0,17.2,27.8,0,0
4:45 PM April 13 2015,0,17.2,27.8,0,0
5:00 PM April 13 2015,0,17.2,27.8,0,0
5:15 PM April 13 2015,0,17.2,27.8,0,0
5:30 PM April 13 2015,0,13.9,20.4,0,0
5:45 PM April 13 2015,0,13.9,20.4,0,0
6:00 PM April 13 2015,0,13.9,20.4,0,0
6:15 PM April 13 2015,0,13.9,20.4,0,0
6:30 PM April 13 2015,0,14.4,22.2,0,0
6:45 PM April 13 2015,0,14.4,22.2,0,0
7:00 PM April 13 2015,0,14.4,22.2,0,0
7:15 PM April 13 2015,0,14.4,22.2,0,0
7:30 PM April 13 2015,0,9.4,16.7,0,0
7:45 AM April 14 2015,0,15.6,16.7,0,0
8:00 AM April 14 2015,0,15.6,16.7,0,0
8:15 AM April 14 2015,0,15.6,16.7,0,0
8:30 AM April 14 2015,0,15.6,16.7,0,0
8:45 AM April 14 2015,0,15.0,14.8,1,0
9:00 AM April 14 2015,0,15.0,14.8,1,0
9:15 AM April 14 2015,0,15.0,14.8,1,0
9:30 AM April 14 2015,0,13.9,13.0,0,0
9:45 AM April 14 2015,0,13.9,13.0,0,0
10:00 AM April 14 2015,0,13.9,13.0,0,0
10:15 AM April 14 2015,0,13.9,13.0,0,0
10:30 AM April 14 2015,0,15.0,13.0,0,0
10:45 AM April 14 2015,0,15.0,13.0,0,0
11:00 AM April 14 2015,0,15.0,13.0,0,0
11:15 AM April 14 2015,0,15.0,13.0,0,0
11:30 AM April 14 2015,0,15.6,18.5,0,0
11:45 AM April 14 2015,0,15.6,18.5,0,0
12:00 PM April 14 2015,0,15.6,18.5,0,0
12:15 PM April 14 2015,0,15.6,18.5,0,0
12:30 PM April 14 2015,0,16.7,13.0,0,0
12:45 PM April 14 2015,0,16.7,13.0,0,0
1:00 PM April 14 2015,0,16.7,13.0,0,0
1:15 PM April 14 2015,0,16.7,13.0,0,0
1:30 PM April 14 2015,0,18.9,20.4,0,0
1:45 PM April 14 2015,0,18.9,20.4,0,0
2:00 PM April 14 2015,0,18.9,20.4,0,0
2:15 PM April 14 2015,0,18.9,20.4,0,0
2:30 PM April 14 2015,0,19.4,11.1,0,0
2:45 PM April 14 2015,0,19.4,11.1,0,0
3:00 PM April 14 2015,0,19.4,11.1,0,0
3:15 PM April 14 2015,0,19.4,11.1,0,0
3:30 PM April 14 2015,0,19.4,14.8,0,0
3:45 PM April 14 2015,0,19.4,14.8,0,0
4:00 PM April 14 2015,0,19.4,14.8,0,0
4:15 PM April 14 2015,0,19.4,14.8,0,0
4:30 PM April 14 2015,0,18.3,9.3,0,0
4:45 PM April 14 2015,0,18.3,9.3,0,0
5:00 PM April 14 2015,0,18.3,9.3,0,0
5:15 PM April 14 2015,0,18.3,9.3,0,0
5:30 PM April 14 2015,0,17.8,13.0,0,0
5:45 PM April 14 2015,0,17.8,13.0,0,0
6:00 PM April 14 2015,0,17.8,13.0,0,0
6:15 PM April 14 2015,0,17.8,13.0,0,0
6:30 PM April 14 2015,0,13.3,7.4,0,0
6:45 PM April 14 2015,0,13.3,7.4,0,0
7:00 PM April 14 2015,0,13.3,7.4,0,0
7:15 PM April 14 2015,0,13.3,7.4,0,0
7:30 PM April 14 2015,0,12.8,5.6,0,0
8:00 AM April 15 2015,0,15.0,24.1,0,0
8:15 AM April 15 2015,0,15.0,24.1,0,0
8:30 AM April 15 2015,0,15.0,24.1,0,0
8:45 AM April 15 2015,0,15.0,24.1,0,0
9:00 AM April 15 2015,0,15.0,24.1,0,0
9:15 AM April 15 2015,0,15.0,24.1,0,0
9:30 AM April 15 2015,0,16.7,22.2,0,0
9:45 AM April 15 2015,0,16.7,22.2,0,0
10:00 AM April 15 2015,0,16.7,22.2,0,0
10:15 AM April 15 2015,0,16.7,22.2,0,0
10:30 AM April 15 2015,0,17.8,22.2,0,0
10:45 AM April 15 2015,0,17.8,22.2,0,0
11:00 AM April 15 2015,0,17.8,22.2,0,0
11:15 AM April 15 2015,0,17.8,22.2,0,0
11:30 AM April 15 2015,0,18.9,24.1,0,0
11:45 AM April 15 2015,0,18.9,24.1,0,0
12:00 PM April 15 2015,0,18.9,24.1,0,0
12:15 PM April 15 2015,0,18.9,24.1,0,0
12:30 PM April 15 2015,0,18.9,24.1,0,0
12:45 PM April 15 2015,0,18.9,24.1,0,0
1:00 PM April 15 2015,0,18.9,24.1,0,0
1:15 PM April 15 2015,0,18.9,24.1,0,0
1:30 PM April 15 2015,0,20.0,18.5,0,0
1:45 PM April 15 2015,0,20.0,18.5,0,0
2:00 PM April 15 2015,0,20.0,18.5,0,0
2:15 PM April 15 2015,0,20.0,18.5,0,0
2:30 PM April 15 2015,0,20.6,20.4,0,0
2:45 PM April 15 2015,0,20.6,20.4,0,0
3:00 PM April 15 2015,0,20.6,20.4,0,0
3:15 PM April 15 2015,0,20.6,20.4,0,0
3:30 PM April 15 2015,0,20.6,16.7,0,0
3:45 PM April 15 2015,0,20.6,16.7,0,0
4:00 PM April 15 2015,0,20.6,16.7,0,0
4:15 PM April 15 2015,0,20.6,16.7,0,0
4:30 PM April 15 2015,0,20.6,22.2,0,0
4:45 PM April 15 2015,0,20.6,22.2,0,0
5:00 PM April 15 2015,0,20.6,22.2,0,0
5:15 PM April 15 2015,0,20.6,22.2,0,0
5:30 PM April 15 2015,0,19.4,24.1,0,0
5:45 PM April 15 2015,0,19.4,24.1,0,0
6:00 PM April 15 2015,0,19.4,24.1,0,0
6:15 PM April 15 2015,0,19.4,24.1,0,0
6:30 PM April 15 2015,0,17.2,27.8,0,0
6:45 PM April 15 2015,0,17.2,27.8,0,0
7:00 PM April 15 2015,0,17.2,27.8,0,0
7:15 PM April 15 2015,0,17.2,27.8,0,0
7:30 PM April 15 2015,0,16.1,18.5,0,0
8:00 AM April 16 2015,0,10.6,9.3,0,0
8:15 AM April 16 2015,0,10.6,9.3,0,0
8:30 AM April 16 2015,0,10.6,9.3,0,0
8:45 AM April 16 2015,0,10.6,9.3,0,0
9:00 AM April 16 2015,0,10.6,9.3,0,0
9:15 AM April 16 2015,0,10.6,9.3,0,0
9:30 AM April 16 2015,0,11.7,7.4,0,0
9:45 AM April 16 2015,0,11.7,7.4,0,0
10:00 AM April 16 2015,0,11.7,7.4,0,0
10:15 AM April 16 2015,0,11.7,7.4,0,0
10:30 AM April 16 2015,0,12.2,5.6,0,0
10:45 AM April 16 2015,0,12.2,5.6,0,0
11:00 AM April 16 2015,0,12.2,5.6,0,0
11:15 AM April 16 2015,0,12.2,5.6,0,0
11:30 AM April 16 2015,0,13.3,9.3,0,0
11:45 AM April 16 2015,0,13.3,9.3,0,0
12:00 PM April 16 2015,0,13.3,9.3,0,0
12:15 PM April 16 2015,0,13.3,9.3,0,0
12:30 PM April 16 2015,0,13.9,18.5,0,0
12:45 PM April 16 2015,0,13.9,18.5,0,0
1:00 PM April 16 2015,0,13.9,18.5,0,0
1:15 PM April 16 2015,0,13.9,18.5,0,0
1:30 PM April 16 2015,0,13.9,22.2,0,0
1:45 PM April 16 2015,0,13.9,22.2,0,0
2:00 PM April 16 2015,0,13.9,22.2,0,0
2:15 PM April 16 2015,0,13.9,22.2,0,0
2:30 PM April 16 2015,0,13.3,25.9,0,0
2:45 PM April 16 2015,0,13.3,25.9,0,0
3:00 PM April 16 2015,0,13.3,25.9,0,0
3:15 PM April 16 2015,0,13.3,25.9,0,0
3:30 PM April 16 2015,0,13.3,27.8,0,0
3:45 PM April 16 2015,0,13.3,27.8,0,0
4:00 PM April 16 2015,1,13.3,27.8,0,0
4:15 PM April 16 2015,1,13.3,27.8,0,0
4:30 PM April 16 2015,1,11.7,27.8,0,0
4:45 PM April 16 2015,1,11.7,27.8,0,0
5:00 PM April 16 2015,1,11.7,27.8,0,0
5:15 PM April 16 2015,1,11.7,27.8,0,0
5:30 PM April 16 2015,1,10.6,24.1,0,0
5:45 PM April 16 2015,1,10.6,24.1,0,0
6:00 PM April 16 2015,1,10.6,24.1,0,0
6:15 PM April 16 2015,1,10.6,24.1,0,0
6:30 PM April 16 2015,1,9.4,18.5,0,0
6:45 PM April 16 2015,1,9.4,18.5,0,0
7:00 PM April 16 2015,1,9.4,18.5,0,0
7:15 PM April 16 2015,1,9.4,18.5,0,0
7:30 PM April 16 2015,1,8.3,11.1,0,0
8:00 AM April 17 2015,0,11.7,18.5,1,0
8:15 AM April 17 2015,0,11.7,18.5,1,0
8:30 AM April 17 2015,0,11.7,18.5,1,0
8:45 AM April 17 2015,0,11.7,18.5,1,0
9:00 AM April 17 2015,0,11.7,18.5,1,0
9:15 AM April 17 2015,0,11.7,18.5,1,0
9:30 AM April 17 2015,0,12.8,25.9,0,0
9:45 AM April 17 2015,0,12.8,25.9,0,0
10:00 AM April 17 2015,0,12.8,25.9,0,0
10:15 AM April 17 2015,0,12.8,25.9,0,0
10:30 AM April 17 2015,0,13.3,20.4,0,0
10:45 AM April 17 2015,0,13.3,20.4,0,0
11:00 AM April 17 2015,0,13.3,20.4,0,0
11:15 AM April 17 2015,0,13.3,20.4,0,0
11:30 AM April 17 2015,0,13.3,20.4,0,0
11:45 AM April 17 2015,0,13.3,20.4,0,0
12:00 PM April 17 2015,0,13.3,20.4,0,0
12:15 PM April 17 2015,0,13.3,20.4,0,0
12:30 PM April 17 2015,0,13.9,22.2,0,0
12:45 PM April 17 2015,0,13.9,22.2,0,0
1:00 PM April 17 2015,0,13.9,22.2,0,0
1:15 PM April 17 2015,0,13.9,22.2,0,0
1:30 PM April 17 2015,0,14.4,24.1,0,0
1:45 PM April 17 2015,0,14.4,24.1,0,0
2:00 PM April 17 2015,0,14.4,24.1,0,0
2:15 PM April 17 2015,0,14.4,24.1,0,0
2:30 PM April 17 2015,0,16.0,18.5,0,0
2:45 PM April 17 2015,0,16.0,18.5,0,0
3:00 PM April 17 2015,0,16.1,20.4,0,0
3:15 PM April 17 2015,0,16.1,20.4,0,0
3:30 PM April 17 2015,0,16.7,16.7,0,0
3:45 PM April 17 2015,0,16.7,16.7,0,0
4:00 PM April 17 2015,1,16.7,16.7,0,0
4:15 PM April 17 2015,1,16.7,16.7,0,0
4:30 PM April 17 2015,1,16.7,14.8,0,0
4:45 PM April 17 2015,1,16.7,14.8,0,0
5:00 PM April 17 2015,1,16.7,14.8,0,0
5:15 PM April 17 2015,1,16.7,14.8,0,0
5:30 PM April 17 2015,1,17.2,13.0,0,0
5:45 PM April 17 2015,1,17.2,13.0,0,0
6:00 PM April 17 2015,1,17.2,13.0,0,0
6:15 PM April 17 2015,1,17.2,13.0,0,0
6:30 PM April 17 2015,1,17.2,9.3,0,0
6:45 PM April 17 2015,1,17.2,9.3,0,0
7:00 PM April 17 2015,1,17.2,9.3,0,0
7:15 PM April 17 2015,1,17.2,9.3,0,0
7:30 PM April 17 2015,1,13.9,5.6,0,0
8:00 AM April 18 2015,0,14.4,0.0,0,0
8:15 AM April 18 2015,0,14.4,0.0,0,0
8:30 AM April 18 2015,0,14.4,0.0,0,0
8:45 AM April 18 2015,0,14.4,0.0,0,0
9:00 AM April 18 2015,0,14.4,0.0,0,0
9:15 AM April 18 2015,0,14.4,0.0,0,0
9:30 AM April 18 2015,0,18.3,0.0,0,0
9:45 AM April 18 2015,0,18.3,0.0,0,0
10:00 AM April 18 2015,0,18.3,0.0,0,0
10:15 AM April 18 2015,0,18.3,0.0,0,0
10:30 AM April 18 2015,0,20.6,13.0,0,0
10:45 AM April 18 2015,0,20.6,13.0,0,0
11:00 AM April 18 2015,0,20.6,13.0,0,0
11:15 AM April 18 2015,0,20.6,13.0,0,0
11:30 AM April 18 2015,0,22.2,11.1,0,0
11:45 AM April 18 2015,0,22.2,11.1,0,0
12:00 PM April 18 2015,0,22.2,11.1,0,0
12:15 PM April 18 2015,0,22.2,11.1,0,0
12:30 PM April 18 2015,0,22.8,7.4,0,0
12:45 PM April 18 2015,0,22.8,7.4,0,0
1:00 PM April 18 2015,0,22.8,7.4,0,0
1:15 PM April 18 2015,0,20.0,29.6,0,0
1:30 PM April 18 2015,0,20.0,29.6,0,0
1:45 PM April 18 2015,0,20.0,24.1,0,0
2:00 PM April 18 2015,0,20.0,24.1,0,0
2:15 PM April 18 2015,0,20.0,24.1,0,0
2:30 PM April 18 2015,0,21.7,20.4,0,0
2:45 PM April 18 2015,0,21.7,20.4,0,0
3:00 PM April 18 2015,0,21.7,20.4,0,0
3:15 PM April 18 2015,0,21.7,20.4,0,0
3:30 PM April 18 2015,0,23.9,27.8,0,0
3:45 PM April 18 2015,0,23.9,27.8,0,0
4:00 PM April 18 2015,0,23.9,27.8,0,0
4:15 PM April 18 2015,0,23.9,27.8,0,0
4:30 PM April 18 2015,0,23.3,22.2,0,0
4:45 PM April 18 2015,0,23.3,22.2,0,0
5:00 PM April 18 2015,0,23.3,22.2,0,0
5:15 PM April 18 2015,0,23.3,22.2,0,0
5:30 PM April 18 2015,0,22.2,27.8,0,0
5:45 PM April 18 2015,0,22.2,27.8,0,0
6:00 PM April 18 2015,0,22.2,27.8,0,0
6:15 PM April 18 2015,0,22.2,27.8,0,0
6:30 PM April 18 2015,0,21.1,24.1,0,0
6:45 PM April 18 2015,0,21.1,24.1,0,0
7:00 PM April 18 2015,0,21.1,24.1,0,0
7:15 PM April 18 2015,0,21.1,24.1,0,0
